№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
1215	U+1F468 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FE	👨🏻‍🤝‍👨🏾	👨🏻‍🤝‍👨🏾	👨🏻 🤝 👨🏾	men holding hands: light skin tone, medium-dark skin tone
1216	U+1F468 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FF	👨🏻‍🤝‍👨🏿	👨🏻‍🤝‍👨🏿	👨🏻 🤝 👨🏿	men holding hands: light skin tone, dark skin tone
1217	U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FB	👨🏼‍🤝‍👨🏻	👨🏼‍🤝‍👨🏻	👨🏼 🤝 👨🏻	men holding hands: medium-light skin tone, light skin tone
1218	U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FD	👨🏼‍🤝‍👨🏽	👨🏼‍🤝‍👨🏽	👨🏼 🤝 👨🏽	men holding hands: medium-light skin tone, medium skin tone
1219	U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FE	👨🏼‍🤝‍👨🏾	👨🏼‍🤝‍👨🏾	👨🏼 🤝 👨🏾	men holding hands: medium-light skin tone, medium-dark skin tone
1220	U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FF	👨🏼‍🤝‍👨🏿	👨🏼‍🤝‍👨🏿	👨🏼 🤝 👨🏿	men holding hands: medium-light skin tone, dark skin tone
1221	U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FB	👨🏽‍🤝‍👨🏻	👨🏽‍🤝‍👨🏻	👨🏽 🤝 👨🏻	men holding hands: medium skin tone, light skin tone
1222	U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FC	👨🏽‍🤝‍👨🏼	👨🏽‍🤝‍👨🏼	👨🏽 🤝 👨🏼	men holding hands: medium skin tone, medium-light skin tone
1223	U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FE	👨🏽‍🤝‍👨🏾	👨🏽‍🤝‍👨🏾	👨🏽 🤝 👨🏾	men holding hands: medium skin tone, medium-dark skin tone
1224	U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FF	👨🏽‍🤝‍👨🏿	👨🏽‍🤝‍👨🏿	👨🏽 🤝 👨🏿	men holding hands: medium skin tone, dark skin tone
1225	U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FB	👨🏾‍🤝‍👨🏻	👨🏾‍🤝‍👨🏻	👨🏾 🤝 👨🏻	men holding hands: medium-dark skin tone, light skin tone
1226	U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FC	👨🏾‍🤝‍👨🏼	👨🏾‍🤝‍👨🏼	👨🏾 🤝 👨🏼	men holding hands: medium-dark skin tone, medium-light skin tone
1227	U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FD	👨🏾‍🤝‍👨🏽	👨🏾‍🤝‍👨🏽	👨🏾 🤝 👨🏽	men holding hands: medium-dark skin tone, medium skin tone
1228	U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FF	👨🏾‍🤝‍👨🏿	👨🏾‍🤝‍👨🏿	👨🏾 🤝 👨🏿	men holding hands: medium-dark skin tone, dark skin tone
1229	U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FB	👨🏿‍🤝‍👨🏻	👨🏿‍🤝‍👨🏻	👨🏿 🤝 👨🏻	men holding hands: dark skin tone, light skin tone
1230	U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FC	👨🏿‍🤝‍👨🏼	👨🏿‍🤝‍👨🏼	👨🏿 🤝 👨🏼	men holding hands: dark skin tone, medium-light skin tone
1231	U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FD	👨🏿‍🤝‍👨🏽	👨🏿‍🤝‍👨🏽	👨🏿 🤝 👨🏽	men holding hands: dark skin tone, medium skin tone
1232	U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FE	👨🏿‍🤝‍👨🏾	👨🏿‍🤝‍👨🏾	👨🏿 🤝 👨🏾	men holding hands: dark skin tone, medium-dark skin tone
1233	U+1F48F	💏	💏	💏	kiss
1234	U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC	🧑🏻‍❤️‍💋‍🧑🏼	🧑🏻‍❤️‍💋‍🧑🏼	🧑🏻 ❤ 💋 🧑🏼	kiss: person, person, light skin tone, medium-light skin tone
1235	U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD	🧑🏻‍❤️‍💋‍🧑🏽	🧑🏻‍❤️‍💋‍🧑🏽	🧑🏻 ❤ 💋 🧑🏽	kiss: person, person, light skin tone, medium skin tone
1236	U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE	🧑🏻‍❤️‍💋‍🧑🏾	🧑🏻‍❤️‍💋‍🧑🏾	🧑🏻 ❤ 💋 🧑🏾	kiss: person, person, light skin tone, medium-dark skin tone
1237	U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF	🧑🏻‍❤️‍💋‍🧑🏿	🧑🏻‍❤️‍💋‍🧑🏿	🧑🏻 ❤ 💋 🧑🏿	kiss: person, person, light skin tone, dark skin tone
1238	U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB	🧑🏼‍❤️‍💋‍🧑🏻	🧑🏼‍❤️‍💋‍🧑🏻	🧑🏼 ❤ 💋 🧑🏻	kiss: person, person, medium-light skin tone, light skin tone
1239	U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD	🧑🏼‍❤️‍💋‍🧑🏽	🧑🏼‍❤️‍💋‍🧑🏽	🧑🏼 ❤ 💋 🧑🏽	kiss: person, person, medium-light skin tone, medium skin tone
1240	U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE	🧑🏼‍❤️‍💋‍🧑🏾	🧑🏼‍❤️‍💋‍🧑🏾	🧑🏼 ❤ 💋 🧑🏾	kiss: person, person, medium-light skin tone, medium-dark skin tone
1241	U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF	🧑🏼‍❤️‍💋‍🧑🏿	🧑🏼‍❤️‍💋‍🧑🏿	🧑🏼 ❤ 💋 🧑🏿	kiss: person, person, medium-light skin tone, dark skin tone
1242	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB	🧑🏽‍❤️‍💋‍🧑🏻	🧑🏽‍❤️‍💋‍🧑🏻	🧑🏽 ❤ 💋 🧑🏻	kiss: person, person, medium skin tone, light skin tone
1243	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC	🧑🏽‍❤️‍💋‍🧑🏼	🧑🏽‍❤️‍💋‍🧑🏼	🧑🏽 ❤ 💋 🧑🏼	kiss: person, person, medium skin tone, medium-light skin tone
1244	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE	🧑🏽‍❤️‍💋‍🧑🏾	🧑🏽‍❤️‍💋‍🧑🏾	🧑🏽 ❤ 💋 🧑🏾	kiss: person, person, medium skin tone, medium-dark skin tone
1245	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF	🧑🏽‍❤️‍💋‍🧑🏿	🧑🏽‍❤️‍💋‍🧑🏿	🧑🏽 ❤ 💋 🧑🏿	kiss: person, person, medium skin tone, dark skin tone
1246	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB	🧑🏾‍❤️‍💋‍🧑🏻	🧑🏾‍❤️‍💋‍🧑🏻	🧑🏾 ❤ 💋 🧑🏻	kiss: person, person, medium-dark skin tone, light skin tone
1247	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC	🧑🏾‍❤️‍💋‍🧑🏼	🧑🏾‍❤️‍💋‍🧑🏼	🧑🏾 ❤ 💋 🧑🏼	kiss: person, person, medium-dark skin tone, medium-light skin tone
1248	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD	🧑🏾‍❤️‍💋‍🧑🏽	🧑🏾‍❤️‍💋‍🧑🏽	🧑🏾 ❤ 💋 🧑🏽	kiss: person, person, medium-dark skin tone, medium skin tone
1249	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF	🧑🏾‍❤️‍💋‍🧑🏿	🧑🏾‍❤️‍💋‍🧑🏿	🧑🏾 ❤ 💋 🧑🏿	kiss: person, person, medium-dark skin tone, dark skin tone
1250	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB	🧑🏿‍❤️‍💋‍🧑🏻	🧑🏿‍❤️‍💋‍🧑🏻	🧑🏿 ❤ 💋 🧑🏻	kiss: person, person, dark skin tone, light skin tone
1251	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC	🧑🏿‍❤️‍💋‍🧑🏼	🧑🏿‍❤️‍💋‍🧑🏼	🧑🏿 ❤ 💋 🧑🏼	kiss: person, person, dark skin tone, medium-light skin tone
1252	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD	🧑🏿‍❤️‍💋‍🧑🏽	🧑🏿‍❤️‍💋‍🧑🏽	🧑🏿 ❤ 💋 🧑🏽	kiss: person, person, dark skin tone, medium skin tone
1253	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE	🧑🏿‍❤️‍💋‍🧑🏾	🧑🏿‍❤️‍💋‍🧑🏾	🧑🏿 ❤ 💋 🧑🏾	kiss: person, person, dark skin tone, medium-dark skin tone
1254	U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468	👩‍❤️‍💋‍👨	👩‍❤️‍💋‍👨	👩 ❤ 💋 👨	kiss: woman, man
1255	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👩🏻‍❤️‍💋‍👨🏻	👩🏻‍❤️‍💋‍👨🏻	👩🏻 ❤ 💋 👨🏻	kiss: woman, man, light skin tone
1256	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👩🏻‍❤️‍💋‍👨🏼	👩🏻‍❤️‍💋‍👨🏼	👩🏻 ❤ 💋 👨🏼	kiss: woman, man, light skin tone, medium-light skin tone
1257	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👩🏻‍❤️‍💋‍👨🏽	👩🏻‍❤️‍💋‍👨🏽	👩🏻 ❤ 💋 👨🏽	kiss: woman, man, light skin tone, medium skin tone
1258	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👩🏻‍❤️‍💋‍👨🏾	👩🏻‍❤️‍💋‍👨🏾	👩🏻 ❤ 💋 👨🏾	kiss: woman, man, light skin tone, medium-dark skin tone
1259	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👩🏻‍❤️‍💋‍👨🏿	👩🏻‍❤️‍💋‍👨🏿	👩🏻 ❤ 💋 👨🏿	kiss: woman, man, light skin tone, dark skin tone
1260	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👩🏼‍❤️‍💋‍👨🏻	👩🏼‍❤️‍💋‍👨🏻	👩🏼 ❤ 💋 👨🏻	kiss: woman, man, medium-light skin tone, light skin tone
1261	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👩🏼‍❤️‍💋‍👨🏼	👩🏼‍❤️‍💋‍👨🏼	👩🏼 ❤ 💋 👨🏼	kiss: woman, man, medium-light skin tone
1262	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👩🏼‍❤️‍💋‍👨🏽	👩🏼‍❤️‍💋‍👨🏽	👩🏼 ❤ 💋 👨🏽	kiss: woman, man, medium-light skin tone, medium skin tone
1263	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👩🏼‍❤️‍💋‍👨🏾	👩🏼‍❤️‍💋‍👨🏾	👩🏼 ❤ 💋 👨🏾	kiss: woman, man, medium-light skin tone, medium-dark skin tone
1264	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👩🏼‍❤️‍💋‍👨🏿	👩🏼‍❤️‍💋‍👨🏿	👩🏼 ❤ 💋 👨🏿	kiss: woman, man, medium-light skin tone, dark skin tone
1265	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👩🏽‍❤️‍💋‍👨🏻	👩🏽‍❤️‍💋‍👨🏻	👩🏽 ❤ 💋 👨🏻	kiss: woman, man, medium skin tone, light skin tone
1266	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👩🏽‍❤️‍💋‍👨🏼	👩🏽‍❤️‍💋‍👨🏼	👩🏽 ❤ 💋 👨🏼	kiss: woman, man, medium skin tone, medium-light skin tone
1267	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👩🏽‍❤️‍💋‍👨🏽	👩🏽‍❤️‍💋‍👨🏽	👩🏽 ❤ 💋 👨🏽	kiss: woman, man, medium skin tone
1268	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👩🏽‍❤️‍💋‍👨🏾	👩🏽‍❤️‍💋‍👨🏾	👩🏽 ❤ 💋 👨🏾	kiss: woman, man, medium skin tone, medium-dark skin tone
1269	U+1F469 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👩🏽‍❤️‍💋‍👨🏿	👩🏽‍❤️‍💋‍👨🏿	👩🏽 ❤ 💋 👨🏿	kiss: woman, man, medium skin tone, dark skin tone
1270	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👩🏾‍❤️‍💋‍👨🏻	👩🏾‍❤️‍💋‍👨🏻	👩🏾 ❤ 💋 👨🏻	kiss: woman, man, medium-dark skin tone, light skin tone
1271	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👩🏾‍❤️‍💋‍👨🏼	👩🏾‍❤️‍💋‍👨🏼	👩🏾 ❤ 💋 👨🏼	kiss: woman, man, medium-dark skin tone, medium-light skin tone
1272	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👩🏾‍❤️‍💋‍👨🏽	👩🏾‍❤️‍💋‍👨🏽	👩🏾 ❤ 💋 👨🏽	kiss: woman, man, medium-dark skin tone, medium skin tone
1273	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👩🏾‍❤️‍💋‍👨🏾	👩🏾‍❤️‍💋‍👨🏾	👩🏾 ❤ 💋 👨🏾	kiss: woman, man, medium-dark skin tone
1274	U+1F469 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👩🏾‍❤️‍💋‍👨🏿	👩🏾‍❤️‍💋‍👨🏿	👩🏾 ❤ 💋 👨🏿	kiss: woman, man, medium-dark skin tone, dark skin tone
1275	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👩🏿‍❤️‍💋‍👨🏻	👩🏿‍❤️‍💋‍👨🏻	👩🏿 ❤ 💋 👨🏻	kiss: woman, man, dark skin tone, light skin tone
1276	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👩🏿‍❤️‍💋‍👨🏼	👩🏿‍❤️‍💋‍👨🏼	👩🏿 ❤ 💋 👨🏼	kiss: woman, man, dark skin tone, medium-light skin tone
1277	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👩🏿‍❤️‍💋‍👨🏽	👩🏿‍❤️‍💋‍👨🏽	👩🏿 ❤ 💋 👨🏽	kiss: woman, man, dark skin tone, medium skin tone
1278	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👩🏿‍❤️‍💋‍👨🏾	👩🏿‍❤️‍💋‍👨🏾	👩🏿 ❤ 💋 👨🏾	kiss: woman, man, dark skin tone, medium-dark skin tone
1279	U+1F469 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👩🏿‍❤️‍💋‍👨🏿	👩🏿‍❤️‍💋‍👨🏿	👩🏿 ❤ 💋 👨🏿	kiss: woman, man, dark skin tone
1280	U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468	👨‍❤️‍💋‍👨	👨‍❤️‍💋‍👨	👨 ❤ 💋 👨	kiss: man, man
1281	U+1F468 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👨🏻‍❤️‍💋‍👨🏻	👨🏻‍❤️‍💋‍👨🏻	👨🏻 ❤ 💋 👨🏻	kiss: man, man, light skin tone
1282	U+1F468 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👨🏻‍❤️‍💋‍👨🏼	👨🏻‍❤️‍💋‍👨🏼	👨🏻 ❤ 💋 👨🏼	kiss: man, man, light skin tone, medium-light skin tone
1283	U+1F468 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👨🏻‍❤️‍💋‍👨🏽	👨🏻‍❤️‍💋‍👨🏽	👨🏻 ❤ 💋 👨🏽	kiss: man, man, light skin tone, medium skin tone
1284	U+1F468 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👨🏻‍❤️‍💋‍👨🏾	👨🏻‍❤️‍💋‍👨🏾	👨🏻 ❤ 💋 👨🏾	kiss: man, man, light skin tone, medium-dark skin tone
1285	U+1F468 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👨🏻‍❤️‍💋‍👨🏿	👨🏻‍❤️‍💋‍👨🏿	👨🏻 ❤ 💋 👨🏿	kiss: man, man, light skin tone, dark skin tone
1286	U+1F468 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👨🏼‍❤️‍💋‍👨🏻	👨🏼‍❤️‍💋‍👨🏻	👨🏼 ❤ 💋 👨🏻	kiss: man, man, medium-light skin tone, light skin tone
1287	U+1F468 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👨🏼‍❤️‍💋‍👨🏼	👨🏼‍❤️‍💋‍👨🏼	👨🏼 ❤ 💋 👨🏼	kiss: man, man, medium-light skin tone
1288	U+1F468 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👨🏼‍❤️‍💋‍👨🏽	👨🏼‍❤️‍💋‍👨🏽	👨🏼 ❤ 💋 👨🏽	kiss: man, man, medium-light skin tone, medium skin tone
1289	U+1F468 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👨🏼‍❤️‍💋‍👨🏾	👨🏼‍❤️‍💋‍👨🏾	👨🏼 ❤ 💋 👨🏾	kiss: man, man, medium-light skin tone, medium-dark skin tone
1290	U+1F468 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👨🏼‍❤️‍💋‍👨🏿	👨🏼‍❤️‍💋‍👨🏿	👨🏼 ❤ 💋 👨🏿	kiss: man, man, medium-light skin tone, dark skin tone
1291	U+1F468 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👨🏽‍❤️‍💋‍👨🏻	👨🏽‍❤️‍💋‍👨🏻	👨🏽 ❤ 💋 👨🏻	kiss: man, man, medium skin tone, light skin tone
1292	U+1F468 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👨🏽‍❤️‍💋‍👨🏼	👨🏽‍❤️‍💋‍👨🏼	👨🏽 ❤ 💋 👨🏼	kiss: man, man, medium skin tone, medium-light skin tone
1293	U+1F468 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👨🏽‍❤️‍💋‍👨🏽	👨🏽‍❤️‍💋‍👨🏽	👨🏽 ❤ 💋 👨🏽	kiss: man, man, medium skin tone
1294	U+1F468 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👨🏽‍❤️‍💋‍👨🏾	👨🏽‍❤️‍💋‍👨🏾	👨🏽 ❤ 💋 👨🏾	kiss: man, man, medium skin tone, medium-dark skin tone
1295	U+1F468 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👨🏽‍❤️‍💋‍👨🏿	👨🏽‍❤️‍💋‍👨🏿	👨🏽 ❤ 💋 👨🏿	kiss: man, man, medium skin tone, dark skin tone
1296	U+1F468 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👨🏾‍❤️‍💋‍👨🏻	👨🏾‍❤️‍💋‍👨🏻	👨🏾 ❤ 💋 👨🏻	kiss: man, man, medium-dark skin tone, light skin tone
1297	U+1F468 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👨🏾‍❤️‍💋‍👨🏼	👨🏾‍❤️‍💋‍👨🏼	👨🏾 ❤ 💋 👨🏼	kiss: man, man, medium-dark skin tone, medium-light skin tone
1298	U+1F468 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👨🏾‍❤️‍💋‍👨🏽	👨🏾‍❤️‍💋‍👨🏽	👨🏾 ❤ 💋 👨🏽	kiss: man, man, medium-dark skin tone, medium skin tone
1299	U+1F468 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👨🏾‍❤️‍💋‍👨🏾	👨🏾‍❤️‍💋‍👨🏾	👨🏾 ❤ 💋 👨🏾	kiss: man, man, medium-dark skin tone
1300	U+1F468 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👨🏾‍❤️‍💋‍👨🏿	👨🏾‍❤️‍💋‍👨🏿	👨🏾 ❤ 💋 👨🏿	kiss: man, man, medium-dark skin tone, dark skin tone
1301	U+1F468 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FB	👨🏿‍❤️‍💋‍👨🏻	👨🏿‍❤️‍💋‍👨🏻	👨🏿 ❤ 💋 👨🏻	kiss: man, man, dark skin tone, light skin tone
1302	U+1F468 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FC	👨🏿‍❤️‍💋‍👨🏼	👨🏿‍❤️‍💋‍👨🏼	👨🏿 ❤ 💋 👨🏼	kiss: man, man, dark skin tone, medium-light skin tone
1303	U+1F468 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FD	👨🏿‍❤️‍💋‍👨🏽	👨🏿‍❤️‍💋‍👨🏽	👨🏿 ❤ 💋 👨🏽	kiss: man, man, dark skin tone, medium skin tone
1304	U+1F468 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FE	👨🏿‍❤️‍💋‍👨🏾	👨🏿‍❤️‍💋‍👨🏾	👨🏿 ❤ 💋 👨🏾	kiss: man, man, dark skin tone, medium-dark skin tone
1305	U+1F468 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F3FF	👨🏿‍❤️‍💋‍👨🏿	👨🏿‍❤️‍💋‍👨🏿	👨🏿 ❤ 💋 👨🏿	kiss: man, man, dark skin tone
1306	U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469	👩‍❤️‍💋‍👩	👩‍❤️‍💋‍👩	👩 ❤ 💋 👩	kiss: woman, woman
1307	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FB	👩🏻‍❤️‍💋‍👩🏻	👩🏻‍❤️‍💋‍👩🏻	👩🏻 ❤ 💋 👩🏻	kiss: woman, woman, light skin tone
1308	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FC	👩🏻‍❤️‍💋‍👩🏼	👩🏻‍❤️‍💋‍👩🏼	👩🏻 ❤ 💋 👩🏼	kiss: woman, woman, light skin tone, medium-light skin tone
1309	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FD	👩🏻‍❤️‍💋‍👩🏽	👩🏻‍❤️‍💋‍👩🏽	👩🏻 ❤ 💋 👩🏽	kiss: woman, woman, light skin tone, medium skin tone
1310	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FE	👩🏻‍❤️‍💋‍👩🏾	👩🏻‍❤️‍💋‍👩🏾	👩🏻 ❤ 💋 👩🏾	kiss: woman, woman, light skin tone, medium-dark skin tone
1311	U+1F469 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FF	👩🏻‍❤️‍💋‍👩🏿	👩🏻‍❤️‍💋‍👩🏿	👩🏻 ❤ 💋 👩🏿	kiss: woman, woman, light skin tone, dark skin tone
1312	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FB	👩🏼‍❤️‍💋‍👩🏻	👩🏼‍❤️‍💋‍👩🏻	👩🏼 ❤ 💋 👩🏻	kiss: woman, woman, medium-light skin tone, light skin tone
1313	U+1F469 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469 U+1F3FC	👩🏼‍❤️‍💋‍👩🏼	👩🏼‍❤️‍💋‍👩🏼	👩🏼 ❤ 💋 👩🏼	kiss: woman, woman, medium-light skin tone
