№	Code	Browser	Sample	Sample Fallback	CLDR Short Name
168	U+1F646 U+1F3FB U+200D U+2640 U+FE0F	🙆🏻‍♀️	🙆🏻‍♀️	🙆🏻 ♀	woman gesturing OK: light skin tone
169	U+1F646 U+1F3FC U+200D U+2640 U+FE0F	🙆🏼‍♀️	🙆🏼‍♀️	🙆🏼 ♀	woman gesturing OK: medium-light skin tone
170	U+1F646 U+1F3FD U+200D U+2640 U+FE0F	🙆🏽‍♀️	🙆🏽‍♀️	🙆🏽 ♀	woman gesturing OK: medium skin tone
171	U+1F646 U+1F3FE U+200D U+2640 U+FE0F	🙆🏾‍♀️	🙆🏾‍♀️	🙆🏾 ♀	woman gesturing OK: medium-dark skin tone
172	U+1F646 U+1F3FF U+200D U+2640 U+FE0F	🙆🏿‍♀️	🙆🏿‍♀️	🙆🏿 ♀	woman gesturing OK: dark skin tone
173	U+1F481 U+200D U+2642 U+FE0F	💁‍♂️	💁‍♂️	💁 ♂	man tipping hand
174	U+1F481 U+1F3FB U+200D U+2642 U+FE0F	💁🏻‍♂️	💁🏻‍♂️	💁🏻 ♂	man tipping hand: light skin tone
175	U+1F481 U+1F3FC U+200D U+2642 U+FE0F	💁🏼‍♂️	💁🏼‍♂️	💁🏼 ♂	man tipping hand: medium-light skin tone
176	U+1F481 U+1F3FD U+200D U+2642 U+FE0F	💁🏽‍♂️	💁🏽‍♂️	💁🏽 ♂	man tipping hand: medium skin tone
177	U+1F481 U+1F3FE U+200D U+2642 U+FE0F	💁🏾‍♂️	💁🏾‍♂️	💁🏾 ♂	man tipping hand: medium-dark skin tone
178	U+1F481 U+1F3FF U+200D U+2642 U+FE0F	💁🏿‍♂️	💁🏿‍♂️	💁🏿 ♂	man tipping hand: dark skin tone
179	U+1F481 U+200D U+2640 U+FE0F	💁‍♀️	💁‍♀️	💁 ♀	woman tipping hand
180	U+1F481 U+1F3FB U+200D U+2640 U+FE0F	💁🏻‍♀️	💁🏻‍♀️	💁🏻 ♀	woman tipping hand: light skin tone
181	U+1F481 U+1F3FC U+200D U+2640 U+FE0F	💁🏼‍♀️	💁🏼‍♀️	💁🏼 ♀	woman tipping hand: medium-light skin tone
182	U+1F481 U+1F3FD U+200D U+2640 U+FE0F	💁🏽‍♀️	💁🏽‍♀️	💁🏽 ♀	woman tipping hand: medium skin tone
